Day,Time_of_day,Morning_Evening,Flight_category,conditions,ceiling,sm,temp,wind_speed,wind_direction,wind_go,temp_go,condition_go,wind_direction_go,one_hour_window,three_hour_window,,,,
11,9,am,LIFR,Cloudy,200,2.6,70,0,NA,1,1,0,1,0,0,,,,
11,10,am,LIFR,Cloudy,300,3,71,0,NA,1,1,0,1,0,0,,,,
11,11,am,IFR,Cloudy,600,5,72,3,175,1,1,0,1,0,0,,,,
11,12,pm,IFR,Cloudy,800,6,73,6,178,1,1,0,1,0,0,,,,
11,1,pm,VFR,Cloudy,14800,6,74,6,177,1,1,0,1,0,0,,,,
11,2,pm,VFR,Cloudy,18800,8,76,6,174,1,1,0,1,0,0,,,,
11,3,pm,LIFR,Cloudy,200,8,76,6,173,1,1,0,1,0,0,,,,
11,4,pm,VFR,Clear,NA,6,77,6,170,1,1,1,1,1,0,,,,
11,5,pm,VFR,Clear,25000,8,77,5,170,1,1,1,1,1,0,,,,
11,6,pm,VFR,Clear,NA,7,76,4,162,1,1,1,1,1,1,,,,
11,7,pm,MVFR,Clear,NA,5,74,3,155,1,1,1,1,1,1,,,,
11,8,pm,MVFR,Clear,NA,3,72,0,NA,1,1,1,1,1,1,,,,
11,9,pm,IFR,Cloudy,NA,2.9,70,0,NA,1,1,0,1,0,0,,,,
11,10,pm,IFR,Cloudy,NA,2.8,70,0,NA,1,1,0,1,0,0,,,,
11,11,pm,IFR,Cloudy,NA,2.9,70,0,NA,1,1,0,1,0,0,,,,
12,12,am,IFR,Cloudy,NA,2.5,69,0,NA,1,1,0,1,0,0,,,,
12,1,am,IFR,Cloudy,NA,2.3,69,0,NA,1,1,0,1,0,0,,,,
12,2,am,IFR,Cloudy,NA,2.2,69,0,NA,1,1,0,1,0,0,,,,
12,3,am,IFR,Cloudy,NA,2.2,69,0,NA,1,1,0,1,0,0,,,,
12,4,am,IFR,Cloudy,NA,2.3,69,0,NA,1,1,0,1,0,0,,,,
12,5,am,IFR,Cloudy,NA,2.1,69,0,NA,1,1,0,1,0,0,,,,
12,6,am,IFR,Cloudy,NA,2.2,68,0,NA,1,1,0,1,0,0,,,,
12,7,am,MVFR,Clear,NA,3,70,0,NA,1,1,1,1,1,0,,,,
12,8,am,MVFR,Clear,NA,5,73,0,NA,1,1,1,1,1,0,,,,
12,9,am,VFR,Clear,NA,7,76,3,205,1,1,1,1,1,1,,,,
12,10,am,VFR,Clear,NA,9,79,3,199,1,1,1,1,1,1,,,,
12,11,am,VFR,Clear,NA,10,82,4,188,1,1,1,1,1,1,,,,
12,12,pm,VFR,Clear,NA,10,83,6,188,1,1,1,1,1,1,,,,
12,1,pm,VFR,Clear,NA,10,84,7,188,1,1,1,1,1,1,,,,
12,2,pm,VFR,Clear,NA,10,84,8,190,1,1,1,1,1,1,,,,
12,3,pm,VFR,Clear,NA,10,84,9,192,1,1,1,1,1,1,,,,
12,4,pm,VFR,Clear,NA,10,84,8,191,1,1,1,1,1,1,,,,
12,5,pm,VFR,Clear,NA,10,83,8,194,1,1,1,1,1,1,,,,
12,6,pm,VFR,Clear,NA,10,81,7,194,1,1,1,1,1,1,,,,
