Day,Time_of_day,Morning_Evening,Flight_category,conditions,ceiling,sm,temp,wind_speed,wind_direction,wind_go,temp_go,condition_go,wind_direction_go,one_hour_window,three_hour_window,,,,
13,9,am,VFR,Clear,NA,10,74,0,NA,1,1,1,1,1,0,,,,
13,10,am,VFR,Clear,NA,10,78,0,NA,1,1,1,1,1,0,,,,
13,11,am,VFR,Clear,NA,10,81,0,NA,1,1,1,1,1,1,,,,
13,12,pm,VFR,Clear,NA,10,84,4,249,1,1,1,1,1,1,,,,
13,1,pm,VFR,Clear,NA,10,85,5,231,1,1,1,1,1,1,,,,
13,2,pm,VFR,Clear,NA,10,85,6,219,1,1,1,1,1,1,,,,
13,3,pm,VFR,Clear,NA,10,85,7,211,1,1,1,1,1,1,,,,
13,4,pm,VFR,Clear,NA,10,84,7,210,1,1,1,1,1,1,,,,
13,5,pm,VFR,Clear,NA,10,82,8,215,1,1,1,1,1,1,,,,
13,6,pm,VFR,Clear,NA,10,79,6,217,1,1,1,1,1,1,,,,
13,7,pm,VFR,Clear,NA,10,76,4,211,1,1,1,1,1,1,,,,
13,8,pm,VFR,Clear,NA,10,72,4,211,1,1,1,1,1,1,,,,
13,9,pm,VFR,Clear,NA,9,70,4,210,1,1,1,1,1,1,,,,
13,10,pm,VFR,Clear,NA,8,69,0,NA,1,1,1,1,1,1,,,,
13,11,pm,VFR,Clear,NA,7,68,0,NA,1,1,1,1,1,1,,,,
14,12,am,MVFR,Cloudy,NA,5,67,0,NA,1,1,0,1,0,0,,,,
14,1,am,MVFR,Cloudy,NA,4,66,0,NA,1,1,0,1,0,0,,,,
14,2,am,MVFR,Cloudy,NA,3,65,0,NA,1,1,0,1,0,0,,,,
14,3,am,IFR,Cloudy,NA,2.8,65,0,NA,1,1,0,1,0,0,,,,
14,4,am,IFR,Cloudy,NA,2.4,65,0,NA,1,1,0,1,0,0,,,,
14,5,am,IFR,Cloudy,NA,2.1,64,0,NA,1,1,0,1,0,0,,,,
14,6,am,LIFR,Cloudy,200,2.4,64,0,NA,1,1,0,1,0,0,,,,
14,7,am,LIFR,Cloudy,200,2.4,65,0,NA,1,1,0,1,0,0,,,,
14,8,am,LIFR,Cloudy,200,3,67,0,NA,1,1,0,1,0,0,,,,
14,9,am,LIFR,Cloudy,200,5,69,4,135,1,1,0,1,0,0,,,,
14,10,am,LIFR,Cloudy,300,6,67,4,152,1,1,0,1,0,0,,,,
14,11,am,IFR,Cloudy,800,7,71,4,158,1,1,0,1,0,0,,,,
14,12,pm,MVFR,Cloudy,1300,8,73,5,161,1,1,0,1,0,0,,,,
14,1,pm,VFR,Clear,NA,6,75,6,176,1,1,1,1,1,0,,,,
14,2,pm,VFR,Clear,NA,6,76,6,188,1,1,1,1,1,0,,,,
14,3,pm,VFR,Clear,NA,6,77,6,200,1,1,1,1,1,1,,,,
14,4,pm,MVFR,Cloudy,2500,6,79,6,241,1,1,0,1,0,0,,,,
14,5,pm,MVFR,Cloudy,2500,6,78,6,262,1,1,0,1,0,0,,,,
14,6,pm,MVFR,Cloudy,2500,6,75,4,286,1,1,0,1,0,0,,,,
14,7,pm,VFR,Cloudy,2500,7,71,3,292,1,1,0,1,0,0,,,,
14,8,pm,VFR,Clear,5000,7,70,3,293,1,1,1,1,1,0,,,,
14,9,pm,VFR,Clear,NA,8,69,3,303,1,1,1,1,1,0,,,,
